* T-Spice 6.02 Simulation	Sun Dec 26 12:22:34 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Module0.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Module0_0.out D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Module0.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\inverter_schematic.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 1                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
 2.010697e-007  5.0000e+000  4.1539e+000
  2.01295e-007  5.0000e+000  3.5703e+000
  2.01507e-007  5.0000e+000  3.0362e+000
  2.01836e-007  5.0000e+000  2.2414e+000
  2.02068e-007  5.0000e+000  1.7263e+000
  2.02272e-007  5.0000e+000  1.3251e+000
  2.02490e-007  5.0000e+000  9.6396e-001
 2.026839e-007  5.0000e+000  7.0786e-001
 2.028722e-007  5.0000e+000  5.1459e-001
  2.03135e-007  5.0000e+000  3.2202e-001
  2.03400e-007  5.0000e+000  1.9764e-001
  2.03636e-007  5.0000e+000  1.2650e-001
  2.03872e-007  5.0000e+000  8.0104e-002
  2.04162e-007  5.0000e+000  4.5160e-002
  2.04596e-007  5.0000e+000  1.8605e-002
  2.05008e-007  5.0000e+000  7.5265e-003
  2.05413e-007  5.0000e+000  2.7099e-003
  2.05820e-007  5.0000e+000  7.1436e-004
  2.06487e-007  5.0000e+000 -2.9928e-004
  2.07367e-007  5.0000e+000 -1.0983e-004
  2.08367e-007  5.0000e+000 -3.7087e-005
  2.09367e-007  5.0000e+000 -1.2523e-005
  2.10367e-007  5.0000e+000 -4.2289e-006
  2.11367e-007  5.0000e+000 -1.4280e-006
  2.12367e-007  5.0000e+000 -4.8220e-007
  2.13367e-007  5.0000e+000 -1.6281e-007
  2.14367e-007  5.0000e+000 -5.4966e-008
  2.15367e-007  5.0000e+000  5.2882e-008
  2.16367e-007  5.0000e+000  1.6073e-007
  2.17367e-007  5.0000e+000  5.4315e-008
  2.18367e-007  5.0000e+000 -5.2101e-008
  2.19367e-007  5.0000e+000 -1.5852e-007
  2.20367e-007  5.0000e+000 -5.3518e-008
  2.21367e-007  5.0000e+000  5.1481e-008
  2.22367e-007  5.0000e+000  1.5648e-007
  2.23367e-007  5.0000e+000  5.2879e-008
  2.24367e-007  5.0000e+000 -5.0723e-008
  2.25367e-007  5.0000e+000 -1.5432e-007
  2.26367e-007  5.0000e+000 -5.2102e-008
  2.27367e-007  5.0000e+000  5.0121e-008
  2.28367e-007  5.0000e+000  1.5234e-007
  2.29367e-007  5.0000e+000  5.1481e-008
  2.30367e-007  5.0000e+000 -4.9381e-008
  2.31367e-007  5.0000e+000 -1.5024e-007
  2.32367e-007  5.0000e+000 -5.0724e-008
  2.33367e-007  5.0000e+000  4.8796e-008
  2.34367e-007  5.0000e+000  1.4832e-007
  2.35367e-007  5.0000e+000  5.0120e-008
  2.36367e-007  5.0000e+000 -4.8075e-008
  2.37367e-007  5.0000e+000 -1.4627e-007
  2.38367e-007  5.0000e+000 -4.9382e-008
  2.39367e-007  5.0000e+000  4.7507e-008
  2.40367e-007  5.0000e+000  1.4439e-007
  2.41367e-007  5.0000e+000  4.8796e-008
  2.42367e-007  5.0000e+000 -4.6803e-008
  2.43367e-007  5.0000e+000 -1.4240e-007
  2.44367e-007  5.0000e+000 -4.8075e-008
  2.45367e-007  5.0000e+000  4.6251e-008
  2.46367e-007  5.0000e+000  1.4058e-007
  2.47367e-007  5.0000e+000  4.7506e-008
  2.48367e-007  5.0000e+000 -4.5565e-008
  2.49367e-007  5.0000e+000 -1.3864e-007
  2.50367e-007  5.0000e+000 -4.6804e-008
  2.51367e-007  5.0000e+000  4.5030e-008
  2.52367e-007  5.0000e+000  1.3686e-007
  2.53367e-007  5.0000e+000  4.6251e-008
  2.54367e-007  5.0000e+000 -4.4361e-008
  2.55367e-007  5.0000e+000 -1.3497e-007
  2.56367e-007  5.0000e+000 -4.5566e-008
  2.57367e-007  5.0000e+000  4.3840e-008
  2.58367e-007  5.0000e+000  1.3325e-007
  2.59367e-007  5.0000e+000  4.5029e-008
  2.60367e-007  5.0000e+000 -4.3188e-008
  2.61367e-007  5.0000e+000 -1.3140e-007
  2.62367e-007  5.0000e+000 -4.4361e-008
  2.63367e-007  5.0000e+000  4.2682e-008
  2.64367e-007  5.0000e+000  1.2973e-007
  2.65367e-007  5.0000e+000  4.3840e-008
  2.66367e-007  5.0000e+000 -4.2046e-008
  2.67367e-007  5.0000e+000 -1.2793e-007
  2.68367e-007  5.0000e+000 -4.3188e-008
  2.69367e-007  5.0000e+000  4.1555e-008
  2.70367e-007  5.0000e+000  1.2630e-007
  2.71367e-007  5.0000e+000  4.2682e-008
  2.72367e-007  5.0000e+000 -4.0934e-008
  2.73367e-007  5.0000e+000 -1.2455e-007
  2.74367e-007  5.0000e+000 -4.2046e-008
  2.75367e-007  5.0000e+000  4.0458e-008
  2.76367e-007  5.0000e+000  1.2296e-007
  2.77367e-007  5.0000e+000  4.1555e-008
  2.78367e-007  5.0000e+000 -3.9852e-008
  2.79367e-007  5.0000e+000 -1.2126e-007
  2.80367e-007  5.0000e+000 -4.0935e-008
  2.81367e-007  5.0000e+000  3.9390e-008
  2.82367e-007  5.0000e+000  1.1972e-007
